"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20180814_20180828.csv"
"C","Report for: 08/14/2018 - 08/28/2018"
"C","Report generated: 06/18/2021 14:07:19 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","08/14/2018","01",13057.64
"D","08/14/2018","02",13017.94
"D","08/14/2018","03",12950.13
"D","08/14/2018","04",12916.67
"D","08/14/2018","05",13134.99
"D","08/14/2018","06",13706.87
"D","08/14/2018","07",14472.32
"D","08/14/2018","08",15488.62
"D","08/14/2018","09",16390.69
"D","08/14/2018","10",17064.46
"D","08/14/2018","11",17649.18
"D","08/14/2018","12",18241.12
"D","08/14/2018","13",18752.38
"D","08/14/2018","14",19257.4
"D","08/14/2018","15",19549.3
"D","08/14/2018","16",19774.42
"D","08/14/2018","17",20054.11
"D","08/14/2018","18",20227.03
"D","08/14/2018","19",19911.35
"D","08/14/2018","20",19352.16
"D","08/14/2018","21",19012.98
"D","08/14/2018","22",17895.46
"D","08/14/2018","23",16370.02
"D","08/14/2018","24",15077.12
"D","08/15/2018","01",14353.08
"D","08/15/2018","02",13847.22
"D","08/15/2018","03",13905.0
"D","08/15/2018","04",13942.41
"D","08/15/2018","05",13998.69
"D","08/15/2018","06",14061.06
"D","08/15/2018","07",14902.23
"D","08/15/2018","08",15682.4
"D","08/15/2018","09",16489.52
"D","08/15/2018","10",16990.47
"D","08/15/2018","11",17468.84
"D","08/15/2018","12",18059.51
"D","08/15/2018","13",18757.38
"D","08/15/2018","14",19596.44
"D","08/15/2018","15",20350.76
"D","08/15/2018","16",20972.75
"D","08/15/2018","17",21537.17
"D","08/15/2018","18",21920.8
"D","08/15/2018","19",21683.89
"D","08/15/2018","20",21101.67
"D","08/15/2018","21",20744.91
"D","08/15/2018","22",19537.16
"D","08/15/2018","23",17771.25
"D","08/15/2018","24",16335.81
"D","08/16/2018","01",15557.76
"D","08/16/2018","02",15026.51
"D","08/16/2018","03",14963.68
"D","08/16/2018","04",14751.8
"D","08/16/2018","05",14543.45
"D","08/16/2018","06",14972.97
"D","08/16/2018","07",15285.63
"D","08/16/2018","08",16314.97
"D","08/16/2018","09",17336.26
"D","08/16/2018","10",18187.87
"D","08/16/2018","11",19029.31
"D","08/16/2018","12",19842.6
"D","08/16/2018","13",20522.04
"D","08/16/2018","14",21208.96
"D","08/16/2018","15",21665.46
"D","08/16/2018","16",22089.44
"D","08/16/2018","17",22480.54
"D","08/16/2018","18",22595.27
"D","08/16/2018","19",22167.42
"D","08/16/2018","20",21442.72
"D","08/16/2018","21",20949.98
"D","08/16/2018","22",19655.37
"D","08/16/2018","23",18135.1
"D","08/16/2018","24",16531.02
"D","08/17/2018","01",15566.62
"D","08/17/2018","02",15164.83
"D","08/17/2018","03",14885.65
"D","08/17/2018","04",14520.6
"D","08/17/2018","05",14224.06
"D","08/17/2018","06",14505.77
"D","08/17/2018","07",14969.2
"D","08/17/2018","08",15610.47
"D","08/17/2018","09",16487.74
"D","08/17/2018","10",17288.78
"D","08/17/2018","11",18112.06
"D","08/17/2018","12",18931.16
"D","08/17/2018","13",19698.18
"D","08/17/2018","14",20537.1
"D","08/17/2018","15",21044.25
"D","08/17/2018","16",21186.36
"D","08/17/2018","17",21192.03
"D","08/17/2018","18",21129.0
"D","08/17/2018","19",20575.07
"D","08/17/2018","20",20110.05
"D","08/17/2018","21",19784.11
"D","08/17/2018","22",18846.43
"D","08/17/2018","23",17542.71
"D","08/17/2018","24",16106.32
"D","08/18/2018","01",14996.32
"D","08/18/2018","02",14231.54
"D","08/18/2018","03",13911.67
"D","08/18/2018","04",13852.42
"D","08/18/2018","05",13981.43
"D","08/18/2018","06",14070.94
"D","08/18/2018","07",14338.5
"D","08/18/2018","08",14656.1
"D","08/18/2018","09",15581.2
"D","08/18/2018","10",16388.76
"D","08/18/2018","11",17078.12
"D","08/18/2018","12",17669.76
"D","08/18/2018","13",18198.58
"D","08/18/2018","14",18647.89
"D","08/18/2018","15",18854.74
"D","08/18/2018","16",18871.35
"D","08/18/2018","17",18346.29
