temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
5.55,partly-cloudy-night,0.76,10.0,Partly Cloudy,3.96,1031.3,4.58,0.35,1577836800,122,0.0,1.66,0.0
4.7,clear-night,0.77,10.0,Clear,3.1,1030.8,4.3,0.23,1577840400,119,0.0,1.06,0.0
3.69,clear-night,0.79,10.0,Clear,1.88,1030.2,4.38,0.11,1577844000,111,0.0,0.36,0.0
2.75,clear-night,0.8,10.0,Clear,0.75,1029.7,4.46,0.04,1577847600,107,0.0,-0.29,0.0
1.96,clear-night,0.82,10.0,Clear,0.04,1029.5,4.09,0.04,1577851200,115,0.0,-0.77,0.0
1.39,clear-night,0.85,10.0,Clear,-0.31,1029.4,3.57,0.03,1577854800,125,0.0,-0.9,0.0
1.2,clear-night,0.86,10.0,Clear,1.2,1029.5,2.47,0.04,1577858400,142,0.0,-0.81,0.0
0.78,clear-night,0.88,10.0,Clear,0.78,1029.5,2.08,0.05,1577862000,142,0.0,-1.05,0.0
0.59,clear-night,0.89,10.0,Clear,0.59,1029.6,1.87,0.05,1577865600,138,0.0,-1.04,0.0
0.88,clear-day,0.91,10.0,Clear,0.88,1029.5,1.75,0.05,1577869200,140,0.0051,-0.36,0.04
2.0,clear-day,0.9,10.0,Clear,2.0,1029.4,1.55,0.05,1577872800,141,0.0078,0.58,0.06
3.73,clear-day,0.87,10.0,Clear,3.73,1029.3,1.44,0.05,1577876400,150,0.0117,1.83,0.07
5.99,clear-day,0.83,10.0,Clear,5.99,1029.5,2.31,0.05,1577880000,108,0.015,3.3,0.06
6.64,clear-day,0.8,10.0,Clear,6.64,1029.1,2.33,0.05,1577883600,130,0.0111,3.49,0.07
6.96,clear-day,0.79,10.0,Clear,6.96,1028.4,2.39,0.05,1577887200,162,0.0056,3.57,0.07
5.88,clear-day,0.85,10.0,Clear,5.88,1028.1,2.53,0.05,1577890800,186,0.0,3.53,0.0
5.69,clear-night,0.87,10.0,Clear,5.69,1027.8,2.78,0.05,1577894400,193,0.0067,3.76,0.07
5.34,clear-night,0.9,10.0,Clear,4.44,1027.9,3.17,0.05,1577898000,195,0.0147,3.82,0.04
5.1,clear-night,0.9,10.0,Clear,5.1,1028.0,2.52,0.05,1577901600,179,0.0196,3.53,0.02
5.11,clear-night,0.88,10.0,Clear,5.11,1028.1,2.63,0.05,1577905200,178,0.0136,3.33,0.02
